trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Adulto ida,Básico,Elige,Elige Confort,Prémium
00533,04104,71801,Renfe,ALVIA,2025-11-13 12:33:00,2025-11-13 13:09:00,0 days 00:36:00,00533_13-11-2025-11.09,,36.3,39.6,43.9,
00533,04040,71801,Renfe,ALVIA,2025-11-14 11:09:00,2025-11-14 13:09:00,0 days 02:00:00,00533_14-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-14 12:00:00,2025-11-14 13:09:00,0 days 01:09:00,00533_14-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-14 12:33:00,2025-11-14 13:09:00,0 days 00:36:00,00533_14-11-2025-11.09,,23.1,26.4,30.7,
00533,04040,71801,Renfe,ALVIA,2025-11-15 11:09:00,2025-11-15 13:09:00,0 days 02:00:00,00533_15-11-2025-11.09,,65.25,71.15,78.85,
00533,78400,71801,Renfe,ALVIA,2025-11-15 12:00:00,2025-11-15 13:09:00,0 days 01:09:00,00533_15-11-2025-11.09,,51.85,56.15,63.2,
00533,04104,71801,Renfe,ALVIA,2025-11-15 12:33:00,2025-11-15 13:09:00,0 days 00:36:00,00533_15-11-2025-11.09,,39.6,42.9,48.3,
00533,04040,71801,Renfe,ALVIA,2025-11-16 11:09:00,2025-11-16 13:09:00,0 days 02:00:00,00533_16-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-16 12:00:00,2025-11-16 13:09:00,0 days 01:09:00,00533_16-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-16 12:33:00,2025-11-16 13:09:00,0 days 00:36:00,00533_16-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-17 11:09:00,2025-11-17 13:09:00,0 days 02:00:00,00533_17-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-17 12:00:00,2025-11-17 13:09:00,0 days 01:09:00,00533_17-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-17 12:33:00,2025-11-17 13:09:00,0 days 00:36:00,00533_17-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-18 11:09:00,2025-11-18 13:09:00,0 days 02:00:00,00533_18-11-2025-11.09,,53.35,59.3,63.1,
00533,78400,71801,Renfe,ALVIA,2025-11-18 12:00:00,2025-11-18 13:09:00,0 days 01:09:00,00533_18-11-2025-11.09,,43.2,47.5,51.7,
00533,04104,71801,Renfe,ALVIA,2025-11-18 12:33:00,2025-11-18 13:09:00,0 days 00:36:00,00533_18-11-2025-11.09,,33.0,36.3,39.5,
00533,04040,71801,Renfe,ALVIA,2025-11-19 11:09:00,2025-11-19 13:09:00,0 days 02:00:00,00533_19-11-2025-11.09,,53.35,59.3,63.1,
00533,78400,71801,Renfe,ALVIA,2025-11-19 12:00:00,2025-11-19 13:09:00,0 days 01:09:00,00533_19-11-2025-11.09,,43.2,47.5,51.7,
00533,04104,71801,Renfe,ALVIA,2025-11-19 12:33:00,2025-11-19 13:09:00,0 days 00:36:00,00533_19-11-2025-11.09,,33.0,36.3,39.5,
00533,04040,71801,Renfe,ALVIA,2025-11-20 11:09:00,2025-11-20 13:09:00,0 days 02:00:00,00533_20-11-2025-11.09,,53.35,59.3,63.1,
00533,78400,71801,Renfe,ALVIA,2025-11-20 12:00:00,2025-11-20 13:09:00,0 days 01:09:00,00533_20-11-2025-11.09,,43.2,47.5,51.7,
00533,04104,71801,Renfe,ALVIA,2025-11-20 12:33:00,2025-11-20 13:09:00,0 days 00:36:00,00533_20-11-2025-11.09,,33.0,36.3,39.5,
00533,04040,71801,Renfe,ALVIA,2025-11-21 11:09:00,2025-11-21 13:09:00,0 days 02:00:00,00533_21-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-21 12:00:00,2025-11-21 13:09:00,0 days 01:09:00,00533_21-11-2025-11.09,,56.15,60.5,68.95,
