ADIF_ID;RENFE_ID;STATION_NAME;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
62104;62104;TORRELLANO;38.2896027;-0.5825138;Calle Casa Campo Torrellano Alto P3, 82;03320;ELCHE/ELX;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62108;62108;ELX-MERCANCIAS;38.278534;-0.653687;;;ELCHE/ELX;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62109;62109;SANT GABRIEL;38.3287722;-0.5089444;Avenida de Elche, S/N;03005;ALICANTE/ALACANT;ALICANTE/ALACANT;ESPAÑA;SI;NO;
64001;64001;LA FONT DE LA FIGUERA (APT);38.802965;-0.871823;;;FONT DE LA FIGUERA (LA);VALENCIA/VALÈNCIA;ESPAÑA;NO;NO;
64002;64002;LA PARRILLA (APT);;;;;MOGENTE/MOIXENT;VALENCIA/VALÈNCIA;ESPAÑA;NO;NO;
64003;64003;MOIXENT/MOGENTE;38.8776138;-0.7536722;Calle Estacion de Ferrocarril, S/N;46640;MOGENTE/MOIXENT;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64004;64004;VALLADA (APT-CGD);38.9088166;-0.6902666;Avenida de L'Antiga Estacio, 3;46691;VALLADA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64005;64005;MONTESA (APT);38.9428444;-0.6411055;Calle Estacion de Ferrocarril, S/N;46692;MONTESA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64006;64006;ALCUDIA;38.9690638;-0.5864111;Calle Pintor Sorolla, S/N;46690;ALCÚDIA DE CRESPINS (L');VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64007;64007;L'ÈNOVA MANUEL;39.0501935;-0.4778516;Carrer Bonavista, 42;46660;MANUEL;;ESPAÑA;SI;NO;
64100;64100;XÀTIVA;38.9920972;-0.5244888;Plaça de L'Estacio, S/N;46800;XÀTIVA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64101;64101;MANUEL-L'ENOVA;39.050156;-0.477618;;;MANUEL;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64102;64102;LA POBLA LLARGA;39.083475;-0.4697027;Barrio Estacion Ferrocarril, S/N;46670;POBLA LLARGA (LA);VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64103;64103;CARCAIXENT;39.1204694;-0.4543833;Glorieta Estacion Ferrocarril, S/N;46740;CARCAIXENT;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64104;64104;ALZIRA;39.1531194;-0.4506;Calle Estacion Ferrocarril, S/N;46600;ALZIRA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64105;64105;ALGEMESÍ;39.1931111;-0.4409083;Calle Estacion Ferrocarril, S/N;46680;ALGEMESÍ;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64107;64107;BENIFAIÓ-ALMUSSAFES;39.2842194;-0.42995;Plaza Estacion Ferrocarril, S/N;46450;BENIFAIÓ;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64200;64200;SILLA;39.3617388;-0.4149472;Calle Estacion Ferrocarril, S/N;46460;SILLA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64201;64201;CATARROJA;39.3999611;-0.3991916;Ronda del Este, S/N;46470;CATARROJA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64202;64202;MASSANASSA;39.4091638;-0.3953194;Calle Garcia Lorca, S/N;46470;MASSANASSA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
64203;64203;ALFAFAR-BENETÚSSER;39.4223277;-0.3926;Doctor Antonio Muñoz, S/N;46910;ALFAFAR;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
65000;VALEN;VALENCIA-ESTACIÒ DEL NORD;39.4669346;-0.3771842;Calle Xativa, 24;46007;VALENCIA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;VALEN
65001;65001;ROCA-CÚPER;39.5261277;-0.3237777;Calle Ferrocarril, S/N;46550;MELIANA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
65002;65002;VALENCIA F.S.L-HOSPITAL LA FE;39.4414666;-0.3698944;Avenida Ausias March, S/N;46026;VALENCIA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
65003;65003;VALENCIA-CABANYAL;39.4689527;-0.3345694;Avenida Blasco Ibañez, S/N;46022;VALENCIA;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
65004;65004;EL MAGISTRE (APT);39.487725;-0.331565;;;ALBORAYA;VALENCIA/VALÈNCIA;ESPAÑA;NO;NO;
65005;65005;ALBUIXECH;39.5433;-0.3205777;Avenida Virgen Albuixech, 23;46550;ALBUIXECH;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
65006;65006;MASSALFASSAR-ALBUIXECH;39.5556333;-0.3182861;Carrer Estacio Ferrocarril, S/N;46560;MASSALFASSAR;VALENCIA/VALÈNCIA;ESPAÑA;SI;NO;
