service_id,0,1,2
03113_21-02-2023-11.30,17.05,39.80,124.85
03123_21-02-2023-12.30,56.85,68.20,109.75
03131_21-02-2023-13.00,20.15,46.95,143.95
19725_21-02-2023-13.25,56.85,60.50,79.50
03143_21-02-2023-14.30,45.50,56.85,124.85
03151_21-02-2023-15.00,20.15,46.95,161.80
03153_21-02-2023-15.30,79.60,90.95,124.85
03161_21-02-2023-16.00,80.50,93.95,126.10
03163_21-02-2023-16.30,79.60,90.95,140.00
03171_21-02-2023-17.00,93.95,107.35,143.95
03173_21-02-2023-17.30,17.05,39.80,140.00
06307_21-02-2023-18.00,25.00,,
03183_21-02-2023-18.30,79.60,90.95,124.85
03191_21-02-2023-19.00,93.95,107.35,143.95
06309_21-02-2023-19.30,25.00,,
03201_21-02-2023-20.00,53.70,67.10,90.40
03203_21-02-2023-20.40,17.05,39.80,71.95
03211_21-02-2023-21.10,17.05,39.80,71.95
06301_22-02-2023-06.15,9.00,,
03063_22-02-2023-06.30,34.10,45.50,71.95
03071_22-02-2023-07.00,67.10,80.30,99.30
17050_22-02-2023-07.15,43.25,,
03073_22-02-2023-07.30,28.45,39.80,109.75
03081_22-02-2023-08.00,93.95,107.35,143.95
03083_22-02-2023-08.30,79.60,90.95,124.85
03091_22-02-2023-09.00,20.15,46.95,161.80
03093_22-02-2023-09.30,79.60,90.95,140.00
06303_22-02-2023-10.30,25.00,,
03113_22-02-2023-11.30,79.60,90.95,124.85
03123_22-02-2023-12.30,56.85,68.20,94.60
03131_22-02-2023-13.00,80.50,93.95,126.10
19725_22-02-2023-13.25,56.85,68.05,87.05
03143_22-02-2023-14.30,39.80,51.15,140.00
03151_22-02-2023-15.00,20.15,46.95,126.10
03153_22-02-2023-15.30,79.60,90.95,124.85
03161_22-02-2023-16.00,67.10,80.30,99.30
03163_22-02-2023-16.30,68.20,79.60,124.85
03171_22-02-2023-17.00,80.50,93.95,126.10
03173_22-02-2023-17.30,17.05,39.80,124.85
06307_22-02-2023-18.00,35.00,,
03183_22-02-2023-18.30,79.60,90.95,124.85
03191_22-02-2023-19.00,93.95,107.35,143.95
06309_22-02-2023-19.30,29.00,,
03201_22-02-2023-20.00,46.95,60.40,99.30
03203_22-02-2023-20.40,56.85,52.95,71.95
03211_22-02-2023-21.10,17.05,39.80,87.05
06301_23-02-2023-06.15,9.00,,
03063_23-02-2023-06.30,90.95,102.35,140.00
03071_23-02-2023-07.00,67.10,80.30,99.30
17050_23-02-2023-07.15,43.25,,
03073_23-02-2023-07.30,79.60,90.95,124.85
03081_23-02-2023-08.00,67.10,80.30,99.30
03083_23-02-2023-08.30,79.60,90.95,124.85
03091_23-02-2023-09.00,67.10,80.30,99.30
03093_23-02-2023-09.30,79.60,90.95,124.85
06303_23-02-2023-10.30,29.00,,
03113_23-02-2023-11.30,79.60,90.95,124.85
03123_23-02-2023-12.30,56.85,68.05,87.05
03131_23-02-2023-13.00,53.70,67.10,99.30
19725_23-02-2023-13.25,56.85,68.05,87.05
