service_id,stop_id,arrival,departure
0005O_03-02-2026-10.02,04104,139,139
0005O_03-02-2026-10.02,71801,182,182
03303_03-02-2026-10.27,60000,0,0
03303_03-02-2026-10.27,04040,80,81
03303_03-02-2026-10.27,71801,172,172
00605_03-02-2026-10.32,60000,0,0
00605_03-02-2026-10.32,04007,27,28
00605_03-02-2026-10.32,70600,74,75
00605_03-02-2026-10.32,81202,142,143
00605_03-02-2026-10.32,80108,175,176
00605_03-02-2026-10.32,80100,203,203
00533_03-02-2026-11.09,11511,0,0
00533_03-02-2026-11.09,11400,60,61
00533_03-02-2026-11.09,11300,87,88
00533_03-02-2026-11.09,80100,125,130
00533_03-02-2026-11.09,80108,156,157
00533_03-02-2026-11.09,81200,188,189
00533_03-02-2026-11.09,81202,205,206
00533_03-02-2026-11.09,04040,253,256
00533_03-02-2026-11.09,78400,305,307
00533_03-02-2026-11.09,04104,338,340
00533_03-02-2026-11.09,71801,376,376
0002I_03-02-2026-11.22,60000,0,0
0002I_03-02-2026-11.22,04040,78,79
0002I_03-02-2026-11.22,71801,172,172
03113_03-02-2026-11.27,60000,0,0
03113_03-02-2026-11.27,70600,58,59
03113_03-02-2026-11.27,04040,84,85
03113_03-02-2026-11.27,78400,128,130
03113_03-02-2026-11.27,04104,157,159
03113_03-02-2026-11.27,71801,199,199
34433_03-02-2026-12.00,78400,0,0
34433_03-02-2026-12.00,04104,31,33
34433_03-02-2026-12.00,71801,69,69
0002I_03-02-2026-12.22,60000,0,0
0002I_03-02-2026-12.22,04040,78,79
0002I_03-02-2026-12.22,71801,172,172
02591_03-02-2026-12.27,51003,0,0
02591_03-02-2026-12.27,50500,41,43
02591_03-02-2026-12.27,60000,158,173
02591_03-02-2026-12.27,04040,251,252
02591_03-02-2026-12.27,78400,295,297
02591_03-02-2026-12.27,71801,370,380
02591_03-02-2026-12.27,79206,421,423
02591_03-02-2026-12.27,04307,438,438
03993_03-02-2026-12.37,54413,0,0
03943_03-02-2026-12.37,51003,0,0
03993_03-02-2026-12.37,02003,20,22
03993_03-02-2026-12.37,02002,35,37
03943_03-02-2026-12.37,50500,42,56
03993_03-02-2026-12.37,50500,63,71
03943_03-02-2026-12.37,37200,110,112
03993_03-02-2026-12.37,37200,125,127
03943_03-02-2026-12.37,04040,237,240
03993_03-02-2026-12.37,04040,252,255
03943_03-02-2026-12.37,78400,280,282
03993_03-02-2026-12.37,78400,295,297
03943_03-02-2026-12.37,04104,306,308
03993_03-02-2026-12.37,04104,321,323
03943_03-02-2026-12.37,71801,348,348
03993_03-02-2026-12.37,71801,363,363
09725_03-02-2026-13.15,60000,0,0
